impl,mode,bytes,proc_ms,io_ms,VmRSS_KiB,alpha,align,misalign
cuda,upper,32768,137.492,0.257653,98464,30,32,0
serial,lower,32768,0.082,0.160,3388,30,32,0
cuda,lower,32768,136.356,0.302714,98440,30,32,0
serial,upper,32768,0.050,0.131,3500,30,32,7
cuda,upper,32768,137.974,0.242766,98284,30,32,7
serial,lower,32768,0.047,0.143,3292,30,32,7
cuda,lower,32768,135.557,0.239861,98188,30,32,7
serial,upper,32768,0.081,0.103,3132,40,32,0
cuda,upper,32768,138.223,0.262312,98228,40,32,0
serial,lower,32768,0.077,0.113,3300,40,32,0
cuda,lower,32768,135.028,0.243698,97940,40,32,0
serial,upper,32768,0.058,0.108,3536,40,32,7
cuda,upper,32768,133.493,0.236376,98592,40,32,7
serial,lower,32768,0.059,0.105,3408,40,32,7
cuda,lower,32768,131.499,0.231236,98424,40,32,7
serial,upper,32768,0.081,0.153,3548,50,32,0
cuda,upper,32768,132.184,0.232457,98684,50,32,0
serial,lower,32768,0.072,0.131,3428,50,32,0
cuda,lower,32768,132.165,0.2447,98316,50,32,0
serial,upper,32768,0.075,0.103,3408,50,32,7
cuda,upper,32768,132.337,0.230013,98604,50,32,7
serial,lower,32768,0.094,0.127,3160,50,32,7
cuda,lower,32768,132.7,0.242746,98452,50,32,7
serial,upper,32768,0.086,0.088,3540,60,32,0
cuda,upper,32768,132.523,0.313654,98196,60,32,0
serial,lower,32768,0.083,0.094,3548,60,32,0
cuda,lower,32768,131.806,0.236244,98296,60,32,0
serial,upper,32768,0.085,0.115,3548,60,32,7
cuda,upper,32768,132.519,0.243167,98400,60,32,7
serial,lower,32768,0.083,0.201,3548,60,32,7
cuda,lower,32768,134.366,0.28941,98100,60,32,7
serial,upper,32768,0.098,0.090,3548,70,32,0
cuda,upper,32768,136.606,0.27209,98388,70,32,0
serial,lower,32768,0.095,0.103,3204,70,32,0
cuda,lower,32768,134.503,0.241545,98648,70,32,0
serial,upper,32768,0.098,0.098,3384,70,32,7
cuda,upper,32768,133.455,0.221187,98348,70,32,7
serial,lower,32768,0.095,0.102,3548,70,32,7
cuda,lower,32768,132.268,0.282357,98652,70,32,7
serial,upper,32768,0.106,0.090,3484,80,32,0
cuda,upper,32768,133.214,0.302945,98200,80,32,0
serial,lower,32768,0.206,0.131,3512,80,32,0
